platform,video_id,video_url,video_title,comment_id,author,text,time,votes,heart,fetched_utc,text_clean,sentimen_rule
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTSvvcQ64k,@nikitahilman9609,Tentu saja perlu bs jd pembelajaran  biar mreka2 yg blm menikah bs lbh hati2 n bs berpikir kmbli jika sblm nikah sdh ada indikasi selingkuh utk tdk mlnjutkn lagi hub nya knjenjang pernikahan.,2 bulan yang lalu,1,False,2025-12-20T09:26:31.742194+00:00,tentu saja perlu bs jd pembelajaran biar mreka2 yg blm menikah bs lbh hati2 n bs berpikir kmbli jika sblm nikah sdh ada indikasi selingkuh utk tdk mlnjutkn lagi hub nya knjenjang pernikahan,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTaOI4eEhS,@FauzanFauzana-s3l,Tim pelakor ya,2 bulan yang lalu,1,False,2025-12-20T09:26:32.108409+00:00,tim pelakor ya,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTaYd2UIx1,@SelvyYanti-x6y,Emng ngapaa jngn jngn lu pihak pelakor.wk,2 bulan yang lalu,1,False,2025-12-20T09:26:32.394280+00:00,emng ngapaa jngn jngn lu pihak pelakor wk,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTbo0C_a_f,@alwiwahyudi,Jangan2 pelakor nya ini,2 bulan yang lalu,1,False,2025-12-20T09:26:33.312419+00:00,jangan2 pelakor nya ini,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTprI7e9WE,@elinasari-y3q,pasti ini suami yg selingkuh ituu😂😂,2 bulan yang lalu,1,False,2025-12-20T09:26:33.587282+00:00,pasti ini suami yg selingkuh ituu,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTy9zhmbU-,@yoelluke998,Salah satu selingkuhannya kali dia 😂,2 bulan yang lalu,1,False,2025-12-20T09:26:33.920262+00:00,salah satu selingkuhannya kali dia,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTzEJ4Rs1x,@rizalbozzki4181,"Lebih Parah Cerita Rumah Tangga Saya....Mantan Istri saya selingkuh sampe 5 tahun lebih tanpa ketahuan,baru ketahuan sicowok minta istri saya kerumah saya.",2 bulan yang lalu,1,False,2025-12-20T09:26:34.219437+00:00,lebih parah cerita rumah tangga saya mantan istri saya selingkuh sampe 5 tahun lebih tanpa ketahuan baru ketahuan sicowok minta istri saya kerumah saya,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT8kjGQ7JA,@IreneNiiiaaa,"YA PENTING LAH T0L0L, SEMISAL KAU DISELINGKUHIN SUAMIMU PUN JUGA BISA CURHAT DI PODCAST BANG DENSU INI PAHAM YAH T0L0L... 😅😅😅",2 bulan yang lalu,0,False,2025-12-20T09:26:35.151405+00:00,ya penting lah t0l0l semisal kau diselingkuhin suamimu pun juga bisa curhat di podcast bang densu ini paham yah t0l0l,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTA-3CY9u4,@ditamelani2091,Curiga ini akun pelakor pake fakee account,2 bulan yang lalu,0,False,2025-12-20T09:26:36.163706+00:00,curiga ini akun pelakor pake fakee account,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTAu6wek2G,@megayulitakusrianti9515,Pentinggg dong anj. Kamu keluarga nya yah si pelakor syariah ini hufff,2 bulan yang lalu,0,False,2025-12-20T09:26:36.446223+00:00,pentinggg dong anj kamu keluarga nya yah si pelakor syariah ini hufff,negatif
